id,tier,original_option,new_option
r13_inst_los_b_q5,B,"significant exposure to alternative investments (private markets, hedge funds), significant active management, and externally managed assets; pros: high value-added potential; cons: expensive and difficult to implement for most SWFs due to their large asset sizes.","significant exposure to alternative investments (private markets, hedge funds), significant active management, and externally managed assets."
r13_inst_los_b_q6,B,"relies more on internally managed assets (insourcing); features reference portfolio (passive mix of public equities/FI/cash defining risk-equivalent benchmark), total portfolio approach (ensuring planned risk exposures at total portfolio level), and active management including tilting asset allocation through to stock selection.",relies more on internally managed assets (insourcing).
r13_inst_los_b_q7,B,"focuses on hedging liabilities and interest rate risk via duration-matched fixed-income exposure; often separates into hedging portfolio (long duration FI, possibly IR swaps to extend duration) and return-generating portfolio (public equities and alternatives); typically has significant exposure to long duration fixed-income securities.",focuses on hedging liabilities and interest rate risk via duration-matched fixed-income exposure.
r13_inst_los_b_q8,B,"GIC (Singapore SWF) uses G3 inflation (US, Japan, Eurozone); Future Fund of Australia targets CPI + 4-5%; some US endowments use Higher Education Price Index (HEPI) published by Commonfund; investor-specific choices matter.","GIC (Singapore SWF) uses G3 inflation (US, Japan, Eurozone)."
r13_inst_los_c_q1,B,defined benefit (DB) — sponsor commits to paying specified retirement benefit and assumes investment risk — and defined contribution (DC) — contributions defined but ultimate retirement benefit not specified or guaranteed by plan sponsor.,defined benefit (DB) — sponsor commits to paying specified retirement benefit and assumes investment risk.
r13_inst_los_c_q2,B,often experience negative cash flow (benefit payments exceed contributions) and must hold more cash and other liquid investments compared to open mature plans; often in de-risking mode.,often experience negative cash flow (benefit payments exceed contributions) and must hold more cash and other liquid investments compared to open mature plans.
r13_inst_los_c_q3,B,"employer contribution of 9.5% of employee's salary — DC-based system with strict licensing obligations for trustees offering the default option (MySuper), including single diversified default strategy, avoiding excessive fees, and delivering value for money.",employer contribution of 9.5% of employee's salary.
r13_inst_los_c_q4,B,"(1) budget stabilization funds; (2) development funds; (3) savings funds; (4) reserve funds; (5) pension reserve funds — each with different investment horizons, liabilities, and liquidity profiles.",(1) budget stabilization funds.
r13_inst_los_c_q5,B,3% of the fund's value annually — linked to the expected real return earned by GPFG; goal of gradually phasing oil revenue into the Norwegian economy.,3% of the fund's value annually — linked to the expected real return earned by GPFG.
r13_inst_los_c_q6,B,"(1) Constant Growth Rule (fixed amount adjusted for inflation with 4-6% caps/floors); (2) Market Value Rule (pre-specified % of moving average asset values, typically 4-6%, 3-5 year smoothing); (3) Hybrid Rule/Yale spending rule (weighted average of the two).",(1) Constant Growth Rule (fixed amount adjusted for inflation with 4-6% caps/floors).
r13_inst_los_c_q7,B,"5% to 5.5% real (net of inflation), since endowments typically pay out 4-6% of assets annually; net spending after gifts is often 2-4% of assets so real return target reflects the pass-through of purchasing power.","5% to 5.5% real (net of inflation), since endowments typically pay out 4-6% of assets annually."
r13_inst_los_c_q8,B,distribute a minimum of 5% of asset value annually in grants that support their mission; failing subjects the foundation to 30% tax on undistributed income; most also have 2% excise tax on net investment income.,distribute a minimum of 5% of asset value annually in grants that support their mission.
r13_inst_los_c_q9,B,"long duration — historically set portfolio return objectives with time horizons of 20 to 40 years; range of products (Individual Life, Group Life and Disability, Individual Annuity, Retirement Plan); Term Life has one-time payout with high predictability; annuity products have ongoing payout with shorter duration subject to longevity risk.",long duration — historically set portfolio return objectives with time horizons of 20 to 40 years.
r13_inst_los_c_q10,B,shorter duration and more volatile — involves events with lower probability of occurrence and potentially higher cost (natural disasters like hurricanes); volatile claims; short-duration high-uncertainty liability stream; benefit from global diversified portfolios that support statistical analysis via law of large numbers.,shorter duration and more volatile — involves events with lower probability of occurrence and potentially higher cost (natural disasters like hurricanes).
r13_inst_los_d_q1,B,"regulates vesting, funding requirements, and payouts for US corporate pension plans; includes fiduciary code of conduct and required disclosures; established the Pension Benefit Guaranty Corporation (PBGC) to collect premiums from plan sponsors and pay benefits to participants in terminated plans.","regulates vesting, funding requirements, and payouts for US corporate pension plans."
r13_inst_los_d_q2,B,"established minimum funding standards for DB plans; later revisions raised rates corporations could use to discount liabilities (high-grade bond yields averaged over 25 years); potential consequence: higher discount rates mean DB plans must generate higher returns to remain sustainable, typically requiring taking on greater investment risk.",established minimum funding standards for DB plans.
r13_inst_los_d_q3,B,tax-deferred treatment — participants make pre-tax contributions and do not pay tax on investment earnings; benefit payments are taxed as ordinary income; early withdrawals before age 59½ are taxed additional 10% to encourage savings retention.,tax-deferred treatment — participants make pre-tax contributions and do not pay tax on investment earnings.
r13_inst_los_d_q4,B,"(1) allows charitable organizations flexibility in spending decisions that could be adjusted for market fluctuations, letting endowments meet fiduciary standard of prudence by maintaining purchasing power; (2) modernizes standard of prudence for management of charitable funds by adopting principles of Modern Portfolio Theory (MPT) established by UPIA (1994).","(1) allows charitable organizations flexibility in spending decisions that could be adjusted for market fluctuations, letting endowments meet fiduciary standard of prudence by maintaining purchasing power."
r13_inst_los_d_q5,B,"(1) Gifts and donations usually tax-deductible up to certain percentage of adjusted gross income; (2) Income and capital gains on assets usually tax-exempt when tied to non-profit, tax-exempt organizations; (3) Payouts tax-exempt if receiving institution is exempt from income tax (payouts to for-profit business are taxable to the business).",(1) Gifts and donations usually tax-deductible up to certain percentage of adjusted gross income.
r13_inst_los_d_q6,B,"governance, risk management, and disclosure — key functions defined (e.g., internal audit), standards for those executing key functions (must not carry similar function for plan sponsor); requires 'own risk assessment' covering risk of not meeting benefit obligations and operational risk (including administrative error or fraud); greater harmonization of pension benefit statements.","governance, risk management, and disclosure — key functions defined (e.g., internal audit), standards for those executing key functions (must not carry similar function for plan sponsor)."
r13_inst_los_e_q1,B,higher pension surplus or higher funded status implies potentially greater risk tolerance — a well-funded plan has cushion to absorb investment losses; underfunded plans face pressure to grow assets faster than liabilities.,higher pension surplus or higher funded status implies potentially greater risk tolerance — a well-funded plan has cushion to absorb investment losses.
r13_inst_los_e_q2,B,lower debt ratios and higher current and expected profitability imply greater risk tolerance; large sponsor company size relative to pension plan size implies greater risk tolerance — sponsor can absorb potential contribution volatility.,lower debt ratios and higher current and expected profitability imply greater risk tolerance.
r13_inst_los_e_q3,B,"the lower the correlation of sponsor operating results with pension asset returns, the greater the risk tolerance, all else equal — DB plan asset allocation should be modified to avoid significant exposure to assets highly correlated with sponsor's core business or industry.","the lower the correlation of sponsor operating results with pension asset returns, the greater the risk tolerance, all else equal."
r13_inst_los_e_q4,B,"reducing the duration of plan liabilities, implying lower risk tolerance, all else equal — such optionality shortens effective liability duration and requires more liquid, shorter-duration matching assets.","reducing the duration of plan liabilities, implying lower risk tolerance, all else equal."
r13_inst_los_e_q5,B,increasing tolerance — younger workforce and higher proportion of active lives means greater duration of plan liabilities and greater risk tolerance; more mature plans (higher proportion of retirees) have lower risk tolerance and shorter horizons.,increasing tolerance — younger workforce and higher proportion of active lives means greater duration of plan liabilities and greater risk tolerance.
r13_inst_los_e_q6,B,"(a) small surplus (€8M, 8% of €100M plan assets); (b) strong sponsor balance sheet (low debt); (c) sponsor is profitable despite operating in cyclical industry; (d) average age of workforce is 39 (young); (e) essentially active-lives plan with no retirees.","(a) small surplus (€8M, 8% of €100M plan assets)."
r13_inst_los_e_q7,B,"if sponsor's revenues are highly cyclical, avoid having plan investments highly correlated with sponsor's core business or industry — plan sponsor doesn't want funded status to deteriorate when core business suffers from a cyclical downturn.","if sponsor's revenues are highly cyclical, avoid having plan investments highly correlated with sponsor's core business or industry."
r13_inst_los_e_q8,B,"is the risk that an individual will live longer than expected and draw more in benefit payments than the amount determined in plan liabilities; pooled in DB plans (early deaths leave assets for those who live longer); pooling doesn't mitigate the effect of rising life expectancies, which implies all else equal increases total DB plan liabilities.",is the risk that an individual will live longer than expected and draw more in benefit payments than the amount determined in plan liabilities.
r13_inst_los_e_q9,B,"over-optimistic long-term projections about ability to make contributions decades into the future; balancing adequacy (will benefits be sufficient) with sustainability (what contribution rate is sustainable, what investment return is realistic); using pension design as employee retention tool or to address worker unrest by increasing future benefits instead of immediate pay raises.",over-optimistic long-term projections about ability to make contributions decades into the future.
r13_inst_los_e_q10,B,"every 3-5 years — with Monte Carlo simulations of thousands of scenarios for asset returns and factors driving pension liabilities (importantly the discount rate) aimed at producing probability distributions for funded ratios and contribution rates at different horizons; key metrics include expected funded ratio in 10 or 15 years, surplus volatility, surplus-at-risk, and volatility of contribution rates.",every 3-5 years — with Monte Carlo simulations of thousands of scenarios for asset returns and factors driving pension liabilities (importantly the discount rate) aimed at producing probability distributions for funded ratios and contribution rates at different horizons.
r13_inst_los_f_q2,B,"review annually; revisions should be infrequent, such as when material changes occur in investor circumstances and/or market environment — since IPS serves as foundation for investment program; asset allocation policy and investment guidelines typically included in an appendix that can be modified more easily.","review annually; revisions should be infrequent, such as when material changes occur in investor circumstances and/or market environment — since IPS serves as foundation for investment program."
r13_inst_los_f_q3,B,"'wishing to maximize the long-term return on investments subject to, in its opinion, an acceptably low likelihood of failing to achieve an ongoing 105% funding level' — balancing sustainable return with acceptable funded ratio risk.","'wishing to maximize the long-term return on investments subject to, in its opinion, an acceptably low likelihood of failing to achieve an ongoing 105% funding level'."
r13_inst_los_f_q4,B,"'to build an investment portfolio to outperform inflation + 4% per annum over 7-year periods while accepting a high level of risk that is expected to generate 4-6 negative annual returns over any 20-year period' — captures return, horizon, and risk transparency.",'to build an investment portfolio to outperform inflation + 4% per annum over 7-year periods while accepting a high level of risk that is expected to generate 4-6 negative annual returns over any 20-year period'.
r13_inst_los_f_q5,B,80% of prior year's spending adjusted for inflation (CPI in range 0-6%) plus 20% of long-term spending rate (5.0%) applied to 12-quarter rolling average of market values — hybrid rule providing budget stability while adjusting to fluctuating market value.,80% of prior year's spending adjusted for inflation (CPI in range 0-6%) plus 20% of long-term spending rate (5.0%) applied to 12-quarter rolling average of market values.
r13_inst_los_f_q6,B,Global equity 20-40% (MSCI World benchmark); Private equity & VC 15-25% (Cambridge Associates US PE Index); Private real estate 5-15% (NCREIF); Real assets 5-15% (CPI-U + 5%); Absolute return 15-25% (HFRI Fund of Funds); FI & cash 5-15% (Citigroup US Treasury Index).,Global equity 20-40% (MSCI World benchmark).
r13_inst_los_f_q7,B,(1) Equity dominance (highest-performing over long term); (2) Illiquid assets (private illiquid expected to outperform more-liquid public by exploiting market inefficiencies); (3) Global orientation (broadest possible set of investment opportunities); (4) Diversification (thoughtful diversification within/between asset classes lowers volatility and raises compound returns).,(1) Equity dominance (highest-performing over long term).
r13_inst_los_f_q8,B,"performance measurement and attribution for quarter and trailing periods in absolute terms and relative to established benchmarks, asset allocation of the total portfolio, and market value of the total portfolio — provided to Board of Trustees, IC, and other stakeholders.","performance measurement and attribution for quarter and trailing periods in absolute terms and relative to established benchmarks, asset allocation of the total portfolio, and market value of the total portfolio."
r13_inst_los_g_q1,B,achieve a long-term target return (usually defined in nominal terms) over specified horizon (3-5 years or as long as 10 or 25 years) with an appropriate level of risk that allows the plan to meet its contractual liabilities; secondary objective could be minimize present value of expected cash contributions.,achieve a long-term target return (usually defined in nominal terms) over specified horizon (3-5 years or as long as 10 or 25 years) with an appropriate level of risk that allows the plan to meet its contractual liabilities.
r13_inst_los_g_q2,B,"large differences by country — Australia and US have largest proportions of DC pension assets and largest allocations to equities; US, Australia, and Netherlands have highest proportions of equity allocations in domestic markets (significant home bias); Japan has been slowest to increase alternatives.",large differences by country — Australia and US have largest proportions of DC pension assets and largest allocations to equities.
r13_inst_los_g_q3,B,"desire to reduce their funded ratio volatility (LDI-driven) despite low expected returns — offset against US public pension plans that reduced FI allocations overall while increasing allocations to high yield (riskier) bonds in FI space, driven by the large gap between expected rate of return and yield on long-term government securities.",desire to reduce their funded ratio volatility (LDI-driven) despite low expected returns.
r13_inst_los_g_q4,B,producing equity-like returns over the long run with relatively low drawdowns; low or negative correlations with traditional investments; hedge funds have lower volatility than equity markets; private assets have historically shown lower drawdowns partly due to lack of mark-to-market and appraisal-based valuations.,producing equity-like returns over the long run with relatively low drawdowns.
r13_inst_los_g_q5,B,significantly increased allocation to alternatives from 39% in 2005 to 60% in 2020; came at the expense of public equities (reduced from 45% to 30%) and fixed income (reduced from 14% to 11%).,significantly increased allocation to alternatives from 39% in 2005 to 60% in 2020.
r13_inst_los_g_q6,B,50-60 bps higher annual returns compared to smaller endowments (< $500M) over 10-year period ending June 2020; compounds to significant gap; higher returns allowed larger endowments to pay out larger part of assets to support universities.,50-60 bps higher annual returns compared to smaller endowments (< $500M) over 10-year period ending June 2020.
r13_inst_los_g_q7,B,"significant liquidity challenges — several large endowments were forced to (1) sell portions of private investment portfolios in secondary markets, (2) reduce payouts to universities, or (3) issue bonds to bridge liquidity needs; David Swensen has warned against blanket application of the Endowment Model.","significant liquidity challenges — several large endowments were forced to (1) sell portions of private investment portfolios in secondary markets, (2) reduce payouts to universities, or (3) issue bonds to bridge liquidity needs."
r13_inst_los_g_q8,B,"supports national economic development through investing in essential infrastructure, innovation, or key industries; implicit real return target to raise real domestic GDP growth and productivity; some initiatives long-term (infrastructure), others medium-term (medical research fund).","supports national economic development through investing in essential infrastructure, innovation, or key industries."
r13_inst_los_g_q9,B,"long-term wealth transfer to future generations after natural wealth is depleted; long-term liabilities; may have real return objective or explicit spending policy (like endowments); invests in risky and illiquid assets (equities, alternatives); should avoid assets highly correlated with the non-renewable resources being diversified from.",long-term wealth transfer to future generations after natural wealth is depleted.
r13_inst_los_g_q10,B,"typically hold 50-70% in equity or equity-equivalent to achieve return targets; remainder invested in liquid FI that could be readily sold if central bank reserves need to be replenished; long horizons but liquidity needs higher than savings funds but lower than stabilization funds; examples: CIC, KIC, GIC (Singapore).",typically hold 50-70% in equity or equity-equivalent to achieve return targets.
r13_inst_los_g_q11,B,invest a significant portion in cash and high-grade fixed-income instruments that are very liquid with little risk of significant drawdown — because they may need to support the government budget on short notice during commodity price shocks or other external shocks.,invest a significant portion in cash and high-grade fixed-income instruments that are very liquid with little risk of significant drawdown.
r13_inst_los_g_q12,B,"during accumulation phase hold significant equities and relatively illiquid investments; once decumulation phase begins, allocation gradually shifts toward more liquid, high-quality fixed-income investments; Australia's Future Fund targets CPI + 4-5% per year over long term with acceptable risk.",during accumulation phase hold significant equities and relatively illiquid investments.
r13_inst_los_g_q13,B,similar investment philosophy despite important differences: foundations legally required to pay out 5% of assets annually (US private grant-making) plus investment expenses vs endowments with more-flexible spending rules; foundations generally have higher liquidity needs; foundations may pursue mission-related/impact investing (Ford Foundation US$1B over 10 years).,similar investment philosophy despite important differences: foundations legally required to pay out 5% of assets annually (US private grant-making) plus investment expenses vs endowments with more-flexible spending rules.
r13_inst_los_g_q14,B,"skill sets — university endowments typically have alumni sitting on boards (people with special relationship + potentially significant financial market skills like PE or HF); foundation board members are typically individuals involved with grant making and not necessarily investment professionals; this difference may affect quality of board oversight, delegation, and investment decision quality.",skill sets — university endowments typically have alumni sitting on boards (people with special relationship + potentially significant financial market skills like PE or HF).
r13_inst_los_h_q1,B,"loans as the largest component (typically comprising up to 50% or more of assets of large international banks that dominate the sector); next largest is debt securities (typically 25% or more of total assets); remainder consists of currency, deposits with central banks, receivables, and bullion.",loans as the largest component (typically comprising up to 50% or more of assets of large international banks that dominate the sector).
r13_inst_los_h_q2,B,"deposits are largest component (usually more than half of total liabilities), consisting of time deposits (savings, CDs) and demand deposits (checking, savings accessible via online/ATM); wholesale funding (Fed Funds, public funds); long-term debt 10-15%; trading/repurchase payables 10-20%.","deposits are largest component (usually more than half of total liabilities), consisting of time deposits (savings, CDs) and demand deposits (checking, savings accessible via online/ATM)."
r13_inst_los_h_q3,B,"tactical horizon directly impacted by nature and maturities of asset base and liability structure — instruments held tend to have far shorter maturities than those held by other financial institutions; strategic horizon is perpetuity because of corporate structure (as long as or longer than DB plans, endowments, foundations, SWFs).",tactical horizon directly impacted by nature and maturities of asset base and liability structure — instruments held tend to have far shorter maturities than those held by other financial institutions.
r13_inst_los_h_q4,B,"Liquidity Coverage Ratios (LCRs) require highly liquid assets to constitute more than 100% of highly probable near-term expected cash outflows; Net Stable Funding Ratios (NSFRs) set minimum requirements for stable funding sources (including capital, long-term debt, non-volatile deposits) relative to assets.",Liquidity Coverage Ratios (LCRs) require highly liquid assets to constitute more than 100% of highly probable near-term expected cash outflows.
r13_inst_los_h_q5,B,USD 10.1B revolving credit facility with 5-year term from 26 leading global financial institutions (led by ING and Santander) — pricing mechanism incentivizes AB InBev on 4 sustainability KPIs: (1) water efficiency at breweries; (2) PET recycled content; (3) sourcing renewable electricity per RE100; (4) reducing GHG emissions per Climate Action Goal.,USD 10.1B revolving credit facility with 5-year term from 26 leading global financial institutions (led by ING and Santander) — pricing mechanism incentivizes AB InBev on 4 sustainability KPIs: (1) water efficiency at breweries.
r13_inst_los_h_q6,B,"Whole life, term life, universal life insurance, and fixed annuities → company bears investment risk, general account; variable life insurance and variable annuities → policyholder bears investment risk, separate account.","Whole life, term life, universal life insurance, and fixed annuities → company bears investment risk, general account."
r13_inst_los_h_q7,B,"external parties (shareholders, derivatives counterparties, policyholders, creditors, regulators, rating agencies including A.M. Best, S&P, Moody's, Fitch) and internal parties (employees, management, boards); tightly regulated in most countries by state or national authorities.","external parties (shareholders, derivatives counterparties, policyholders, creditors, regulators, rating agencies including A.M. Best, S&P, Moody's, Fitch) and internal parties (employees, management, boards)."
r13_inst_los_h_q8,B,"(1) hazard (severity and frequency); (2) exposure (building's physical properties); (3) vulnerability (destruction rates as function of hazard and exposure); as of end 2020, AXA estimated annual average losses (AAL) for its real estate portfolio at EUR 4.3M from floods and EUR 6.2M from windstorms; considers IPCC's Representative Concentration Pathways 2.6 and 8.5 scenarios.",(1) hazard (severity and frequency).
r14_trading_los_a_q1,B,"direct costs of trading — broker commission costs, transaction taxes, stamp duties, and fees paid to exchanges; costs for which a trader could receive a receipt.","direct costs of trading — broker commission costs, transaction taxes, stamp duties, and fees paid to exchanges."
r14_trading_los_a_q2,B,"(1) bid-ask spread, (2) market impact/price impact, (3) delay costs/slippage, (4) opportunity costs/unrealized P&L — indirect costs caused by the market impact of trading and price concessions impatient traders make to complete trades.","(1) bid-ask spread, (2) market impact/price impact, (3) delay costs/slippage, (4) opportunity costs/unrealized P&L."
r14_trading_los_a_q3,B,the ask price minus the bid price — the price at which a trader will sell a specified quantity minus the price at which a trader will buy a specified quantity; traders who want to trade quickly buy at higher prices and sell at lower prices than those willing to wait.,the ask price minus the bid price — the price at which a trader will sell a specified quantity minus the price at which a trader will buy a specified quantity.
r14_trading_los_a_q4,B,is the effect of the trade on transaction prices — traders who want to fill large orders often must move prices to encourage others to trade with them; small market orders have small market impact because filled by traders willing to trade at quoted prices; larger orders require larger price concessions.,is the effect of the trade on transaction prices — traders who want to fill large orders often must move prices to encourage others to trade with them.
r14_trading_los_a_q5,B,"arise from the inability to complete the desired trade immediately — traders fail to profit when they fill their orders after prices move as they expect; often measured on the portion of the order carried over from one day to the next; delay is costly when price moves away from an order (up for buy, down for sell), often because information leaks into the market.",arise from the inability to complete the desired trade immediately — traders fail to profit when they fill their orders after prices move as they expect.
r14_trading_los_a_q6,B,"the failure to execute a trade promptly — traders fail to profit when their orders fail to trade and prices move as they expect; often significant for large orders; when delays cause a portion of the order to go unfilled, associated cost is opportunity cost.",the failure to execute a trade promptly — traders fail to profit when their orders fail to trade and prices move as they expect.
r14_trading_los_a_q7,B,"costs of employing buy-side traders, costs of equipping them with proper trading tools (electronic systems and data), costs of office space (trading rooms or corners); small buy-side institutions often avoid these by not employing buy-side traders and having portfolio managers submit orders directly to brokers.","costs of employing buy-side traders, costs of equipping them with proper trading tools (electronic systems and data), costs of office space (trading rooms or corners)."
r14_trading_los_a_q8,B,1.64 = best ask 100.49 (Dealer C) - best bid 98.85 (Dealer A); lower than any individual dealer's spread because the dealer with highest bid is not the dealer with lowest ask.,1.64 = best ask 100.49 (Dealer C) - best bid 98.85 (Dealer A).
r14_trading_los_b_q1,B,for buy: 2 × (Trade price − Midquote at order entry); for sell: 2 × (Midquote at order entry − Trade price); estimates the spread that traders would have observed if the quoted ask (buy) or bid (sell) equaled the trade price.,for buy: 2 × (Trade price − Midquote at order entry).
r14_trading_los_b_q2,B,trade execution prices are better than quoted prices — buy fills below the ask price or sell fills above the bid; effective spread is less than the quoted spread when this happens.,trade execution prices are better than quoted prices — buy fills below the ask price or sell fills above the bid.
r14_trading_los_b_q3,B,traders split large orders into many parts filled over time — orders often move the market and cause bid/ask prices to rise or fall; the market impact makes trading expensive (especially for the last parts to fill) but effective spread will not fully identify this cost if computed separately for each trade.,traders split large orders into many parts filled over time — orders often move the market and cause bid/ask prices to rise or fall.
r14_trading_los_b_q4,B,C$0.06 = 2 × (C$10.18 midpoint − C$10.15 trade price) — less than quoted spread of C$0.12; the trade received price improvement because it sold above the bid.,C$0.06 = 2 × (C$10.18 midpoint − C$10.15 trade price) — less than quoted spread of C$0.12.
r14_trading_los_b_q5,B,for buy: Trade size × (Trade VWAP − VWAP benchmark); for sell: Trade size × (VWAP benchmark − Trade VWAP); VWAP typically computed as sum of dollar volume of trades divided by total quantity within the interval; often called 'interval VWAP'.,for buy: Trade size × (Trade VWAP − VWAP benchmark).
r14_trading_los_b_q6,B,"~C$266 = 10,000 × (C$10.0946 − C$10.0680); the VWAP benchmark is C$131,230/13,000 = C$10.0946 (all trades that day); trade VWAP is C$10.0680 (only fund's 10,000 shares).","~C$266 = 10,000 × (C$10.0946 − C$10.0680)."
r14_trading_los_b_q7,B,"when trades being evaluated are substantial fraction of all trades in benchmark, or trades took place at same rate as other trades, Trade VWAP and VWAP benchmark will be nearly equal — suggesting trades were not costly; but conclusion misleading if trade had substantial price impact; bias toward zero explains why measure is popular.","when trades being evaluated are substantial fraction of all trades in benchmark, or trades took place at same rate as other trades, Trade VWAP and VWAP benchmark will be nearly equal — suggesting trades were not costly."
r14_trading_los_b_q8,B,greater than the quoted spread — because the large order size that exceeds the bid size causes the order to walk down the limit order book; the average sale price is less than the bid so effective spread is higher than quoted spread.,greater than the quoted spread — because the large order size that exceeds the bid size causes the order to walk down the limit order book.
r14_trading_los_c_q1,B,"the total cost of implementing an investment decision by capturing all explicit and implicit costs — includes market impact costs, delay costs, and opportunity costs which are often significant for large orders; views trading from an investment management perspective.","the total cost of implementing an investment decision by capturing all explicit and implicit costs — includes market impact costs, delay costs, and opportunity costs which are often significant for large orders."
r14_trading_los_c_q2,B,"the values of the actual portfolio with the paper portfolio (constructed on assumption trades could be arranged at prices that prevailed when the decision to trade was made); the prevailing price is the decision price/arrival price/strike price, generally the midquote at the time of decision.",the values of the actual portfolio with the paper portfolio (constructed on assumption trades could be arranged at prices that prevailed when the decision to trade was made).
r14_trading_los_c_q4,B,"orders are large and split over time — IS captures market impact costs, delay costs, opportunity costs that arise as prices move away during protracted execution; effective spread misses these when computed per trade.","orders are large and split over time — IS captures market impact costs, delay costs, opportunity costs that arise as prices move away during protracted execution."
r14_trading_los_c_q5,B,"trades could be arranged at prices prevailing when the decision to trade was made — a hypothetical benchmark measuring what would have been achieved without market impact, delay, or opportunity cost.",trades could be arranged at prices prevailing when the decision to trade was made.
r14_trading_los_c_q6,B,"the implementation shortfall — a positive number represents the total costs of implementation; can be decomposed into explicit costs, market impact/spread costs, delay costs, and opportunity costs.",the implementation shortfall — a positive number represents the total costs of implementation.
r14_trading_los_c_q7,B,"effective spread's failure to capture market impact of split large orders across trades, delay costs, and opportunity costs from unfilled orders — IS captures the total drag on portfolio performance not just individual trade slippage.","effective spread's failure to capture market impact of split large orders across trades, delay costs, and opportunity costs from unfilled orders."
r14_trading_los_d_q1,B,"significantly decreased trading costs for buy-side traders — through cost efficiencies from electronic matching systems vs floor-based manual trading systems, forcing dealers and arbitrageurs (main liquidity providers) to pass along benefits via narrower spreads quoted for larger sizes.",significantly decreased trading costs for buy-side traders.
r14_trading_los_d_q4,B,"markets in which orders submitted by traders are arranged based on a rules-based, order-matching system run by an exchange, a broker, or an alternative trading system (ATS); organized by most exchanges and electronic communication networks (ECNs).","markets in which orders submitted by traders are arranged based on a rules-based, order-matching system run by an exchange, a broker, or an alternative trading system (ATS)."
r14_trading_los_d_q5,B,"lagged that of equities, futures, and options markets — despite efforts of many creative developers, most public investors still trade largely over-the-counter with dealers; potential for growth is quite large; corporate/municipal bond issues vastly outnumber stock issues.","lagged that of equities, futures, and options markets — despite efforts of many creative developers, most public investors still trade largely over-the-counter with dealers."
r14_trading_los_d_q6,B,traders need high-speed order processing and communication systems to implement electronic trading strategies; exchanges need electronic exchange systems to process vast numbers of orders these traders produce.,traders need high-speed order processing and communication systems to implement electronic trading strategies.
r14_trading_los_d_q7,B,"transaction costs declined with the growth of electronic trading over time; at a given point in time, lower transaction costs are found in markets with greatest intensity of electronic trading (both time-series and cross-sectional results).",transaction costs declined with the growth of electronic trading over time.
r14_trading_los_e_q1,B,"trading the same instrument in multiple venues — venues trading the same instruments have proliferated, and trading in any given instrument now occurs in multiple venues; increases potential for price and liquidity disparities across venues because buyers and sellers often are not in the same venues at the same time.","trading the same instrument in multiple venues — venues trading the same instruments have proliferated, and trading in any given instrument now occurs in multiple venues."
